firstname,lastname,totalprice,depositpaid,checkin,checkout,additionalneeds
Jolynn,MacIlwrick,4051,false,2025-07-28,2025-05-19,Dinner
Hugo,Huggon,595,true,2026-03-09,2025-04-07,Dinner
Yul,Sirr,1974,true,2026-01-30,2026-01-10,Extra Pillow
Ros,Mableson,2277,true,2025-09-18,2025-05-04,Extra Pillow
Hew,Madden,662,true,2025-05-19,2025-07-26,Dinner
Alane,Comettoi,2117,false,2025-09-10,2025-09-27,Dinner
Katinka,Palin,4847,false,2025-12-24,2026-03-07,Dinner
Rancell,Christol,3769,false,2026-01-16,2025-08-06,Extra Pillow
Jolene,O'Fairy,549,false,2026-02-08,2025-06-24,Breakfast
Kimball,Hebborne,2517,false,2025-08-11,2025-04-08,Extra Pillow
Lucho,Dorber,1219,false,2025-09-03,2025-11-29,Breakfast
Lucinda,Blakiston,1956,false,2025-09-27,2025-12-19,Extra Pillow
Gerald,Gimlet,1140,true,2025-07-03,2026-03-24,Breakfast
Cinda,MacCrachen,3161,false,2025-09-04,2025-11-28,Dinner
Avrit,Robathon,2760,true,2025-04-02,2025-05-18,Breakfast
Sunny,Shwalbe,2345,true,2025-07-16,2026-02-21,Extra Pillow
Dorthy,Shead,2121,false,2025-07-04,2025-08-11,Breakfast
Howey,Barrick,4447,false,2026-02-20,2025-05-24,Dinner
Dani,Chimienti,2699,true,2025-11-17,2025-12-10,Extra Pillow
Malcolm,Dominka,754,false,2025-12-15,2025-06-18,Dinner
Biddie,Egdal,2298,false,2025-04-13,2025-08-16,Breakfast
Bradney,Hazard,2253,false,2025-07-01,2025-05-15,Breakfast
Ernesta,Rysom,2389,false,2025-06-08,2026-02-04,Dinner
Emmanuel,Owlner,340,true,2025-11-20,2025-08-12,Extra Pillow
Ingaborg,Sainteau,2892,false,2025-04-04,2025-08-11,Dinner
Ludvig,Perrycost,1652,false,2025-12-27,2025-04-13,Dinner
Fields,Bamblett,1120,false,2025-08-10,2025-03-31,Extra Pillow
Burl,Devita,2997,true,2025-04-01,2025-12-31,Breakfast
Brendin,Swanson,4755,false,2025-12-13,2025-09-20,Breakfast
Brigit,Thomkins,4265,true,2026-02-11,2026-03-12,Extra Pillow
Dottie,Grim,4928,false,2025-04-03,2025-07-29,Breakfast
Bobine,Doohan,537,true,2025-10-14,2025-04-03,Dinner
Esme,Levesley,3013,true,2025-11-26,2025-05-08,Extra Pillow
Mehetabel,Knaggs,3642,true,2025-12-01,2025-05-13,Extra Pillow
Redd,Woodbridge,3124,true,2025-06-14,2025-10-02,Extra Pillow
Hewitt,Hounihan,1889,false,2025-06-11,2025-04-20,Breakfast
Davida,Hoys,2340,true,2025-10-24,2025-12-27,Breakfast
Sam,Millmore,4916,false,2025-05-08,2025-09-20,Dinner
